COUNTRY,RETAILER,RETAILER_UPC,RETAILER_UPC_DESC,RETAILER_UPC_UOM_FACTOR,RETAILER_ITEM_CODE,RETAILER_NBR,MATERIAL,BASE_UOM,BASE_UOM_UPC,MATERIAL_DIST_CHNL_STATUS,MATERIAL_DIST_CHNL_STATUS_RANK,MATERIAL_BASE_UOM_RANK,PROD_HIER,UOM_EA_EANUPC,UOM_CSE_EAN13_EANUPC,UOM_CSE_ITF14_EANUPC,UOM_CSE_UCC12_EANUPC,UOM_DS_ITF14_EANUPC,UOM_DS_UCC12_EANUPC,UOM_MO_ITF14_EANUPC,UOM_MO_UCC12_EANUPC,UOM_PAL_ITF14_EANUPC,UOM_ZIN_UCC12_EANUPC
CA01,Shoppers Drug Mart,841631011351,,,,CA2000295,000008416310113500,CSE,10841631011358,03,1,1,2011466031181PP25E,841631011351,,10841631011358,,,,,,20841631011355,
CA01,SAVE ON FOODS,6810089612,CKRBRL MOZZARELLA 650G G,,3710481,CA2000316,000000681008961200,CSE,10068100896128,YD,2,1,012081902390WI4AAP,68100896121,,10068100896128,,,,,,20068100896125,
CA01,LCL,6810089877,,,,CA2000287,000000681008987700,CSE,10068100898771,03,1,1,012081702387TI42TW,68100898774,,10068100898771,,,,,,20068100898778,
CA01,Walmart,6810000237,CB HAB SLI,,30542738,CA2000358,000000681000023700,CSE,10068100002376,03,1,1,012132403402HT5WU2,68100002379,,10068100002376,,,,,,20068100002373,
CA01,Shoppers Drug Mart,57000029906,HEINZ JUNIOR APPLE BROCLI PEAS 128ML (057000029906),128ML,,CA2000295,000000570000350400,CSE,10057000035041,03,1,1,1941183027286JKOGW,57000029906,,10057000035041,,,,,,20057000035048,
CA01,Sobeys,6810000128,KOOLAID LIQ TROPICAL PUNCH 48 ML - 6810000128,48ML,385300,CA2000341,000000681000012800,CSE,10068100001287,03,1,1,169057202558UJ99WM,68100001280,,10068100001287,,,,,,20068100001284,
CA01,LCL,5700033008,,,,CA2000287,000000570003300800,CSE,10057000330085,03,1,1,2341186027329JL2O7,57000330088,,10057000330085,,,,,,20057000330082,
CA01,LCL,5700000235,,,,CA2000287,000000570000023500,CSE,10057000002357,03,1,1,1941182027279PP28K,57000002350,,10057000002357,,,,,,20057000002354,
CA01,Walmart,6810089987,PQ MED CHED,,30542459,CA2000358,000000681008998700,CSE,10068100899877,05,3,1,012131301668TI77XS,68100899870,,10068100899877,,,,,,20068100899874,
CA01,Pasquier,6810000090,,,,CA2000318,000000681000009000,CSE,10068100000907,05,3,1,025080602369TH74TV,68100000900,,10068100000907,,,,,,20068100000904,
